Date,Headline
2023-05-15T14:50:07Z,EU okays Microsoft deal for Activision that UK blocked
2023-05-25T15:59:56Z,Nvidia: The chip maker that became an AI superpower
2023-05-11T15:44:40Z,UK further restricts Microsoft and Activision merge
2023-05-25T10:11:41Z,Microsoft: Chinese hackers hit key US bases on Guam
2023-05-27T14:26:13Z,Twitter pulls out of voluntary EU disinformation code
2023-05-18T10:30:10Z,Oldest most complete Hebrew Bible sells for $38m at auction
2023-05-09T02:12:04Z,Tech layoffs: LinkedIn cuts 700 jobs and phases out China
2023-05-20T23:21:21Z,Can ‘enhanced rock weathering’ help combat climate change?
2023-05-10T21:31:37Z,Google brings AI to search as it vies with Microsoft
2023-05-24T17:55:54Z,Microsoft appeals UK veto of Activision Blizzard takeover
2023-05-25T10:49:55Z,"PlayStation Showcase 2023: Spider-Man 2 impresses, Project Q confuses"
2023-05-04T02:57:56Z,UK competition watchdog to launch review into AI
2023-05-30T15:09:59Z,Nvidia hits $1tn valuation as investors buy AI buzz
2023-06-01T21:15:10Z,Elon Musk: Twitter boss reclaims title of world's richest person
2023-05-12T10:22:22Z,Mike Lynch: Autonomy founder extradited to US in criminal case
2023-05-17T12:22:51Z,Chancellor Jeremy Hunt: Office working should be default
2023-05-02T21:48:12Z,UK watchdog plans to shake up stock listing rules
2023-05-28T06:37:45Z,Xbox v PlayStation: The battle for control
2023-05-02T15:44:32Z,Ship righted and afloat after toppling in Leith dry dock
2023-05-23T21:18:19Z,ChatGPT: Can China overtake the US in the AI marathon?
2023-05-05T00:02:07Z,White House: Big Tech bosses told to protect public from AI risks
