Date,Headline,Headline_preprocessed,Sentiment
2023-05-23T18:51:33Z,Netflix starts charging for account sharing in the US,netflix start charg account share u,Neutral
2023-05-23T10:45:54Z,Netflix makes it easier to find titles you've added to your list but haven't watched yet,netflix make easier find titl 've ad list n't watch yet,Neutral
2023-05-22T18:16:14Z,Netflix is making it easier to find saved shows and movies you still haven’t watched,netflix make easier find save show movi still ’ watch,Neutral
2023-05-06T13:30:27Z,Netflix is launching a remastered 'World of Goo' on May 23rd,netflix launch remast 'world goo ' may 23rd,Neutral
2023-05-11T15:56:41Z,"Netflix canceled its in-person upfront, probably to avoid the WGA’s picket lines","netflix cancel in-person upfront , probabl avoid wga ’ picket line",Neutral
2023-05-09T15:45:37Z,Quick fixes: take a screenshot on your streaming video service,quick fix : take screenshot stream video servic,Positive
2023-05-04T17:20:00Z,Netflix's One Piece Series Gets an Update From Eiichiro Oda,netflix 's one piec seri get updat eiichiro oda,Neutral
2023-06-01T15:35:19Z,"One Piece, 3 Body Problem, and The Last Airbender are all coming to Netflix’s Tudum","one piec , 3 bodi problem , last airbend come netflix ’ tudum",Neutral
2023-05-10T14:20:00Z,"Updates From TMNT: Mutant Mayhem, and More","updat tmnt : mutant mayhem ,",Neutral
2023-05-04T18:52:44Z,Netflix’s One Piece adaptation sounds like it might have hit some choppy waters,netflix ’ one piec adapt sound like might hit choppi water,Positive
2023-05-25T20:00:00Z,"From Disney+ to Max, Here Are the Best Streaming Services","disney+ max , best stream servic",Positive
2023-05-02T14:15:04Z,Tinder's parent company is leaving Russia over a year after the Ukraine invasion,tinder 's parent compani leav russia year ukrain invas,Neutral
2023-05-19T20:46:58Z,Disney+ and Hulu will remove a slew of titles on May 26th,disney+ hulu remov slew titl may 26th,Neutral
2023-05-23T18:29:00Z,Netflix updates policy on user account sharing - Reuters,netflix updat polici user account share - reuter,Neutral
2023-06-02T02:00:32Z,Netflix shareholders withhold support for executive pay package - Reuters,netflix sharehold withhold support execut pay packag - reuter,Neutral
2023-05-07T14:30:00Z,Stranger Things 5 Production Halted as Duffer Bros. Stand with WGA,stranger thing 5 product halt duffer bros. stand wga,Neutral
